City Name,Longitude,Latitude,User Interaction Count,Comment Count
秦皇岛,119.6085306,39.9417481,162111,1652
保定,115.4714638,38.87998777,937475,1963
张家口,114.8925722,40.7732372,157439,1274
承德,117.9693975,40.95785601,338395,4016
廊坊,116.6905817,39.54336666,507255,5269
沧州,116.8455808,38.31021514,1821786,4190
衡水,115.6754061,37.74519141,16496019,16116
邢台,114.5114623,37.07668595,274883,1559
济南,117.1263994,36.6565542,2572775,10768
青岛,120.3894552,36.0722275,20506516,10419
淄博,118.0614525,36.81908568,84304,1798
枣庄,117.3305419,34.81599405,206881,1487
东营,118.6813849,37.43964183,659005,7545
烟台,121.4544154,37.47003838,507051,2964
潍坊,119.1683779,36.71265155,753118,1737
济宁,116.5936123,35.42017739,514225,2834
泰安,117.0944948,36.20585804,269940,2695
威海,122.127541,37.51643055,1721726,3376
日照,119.5334154,35.422839,292709,1832
莱芜,117.6665907,36.20884143,113575,468
临沂,118.363533,35.11067124,450980,2893
德州,116.3655567,37.44130845,2558317,4069
聊城,115.9915878,36.46275819,31060,414
菏泽,115.487545,35.23940742,1542589,2333
滨州,117.977404,37.3881962,543538,2833
南京,118.8024217,32.06465289,7401573,10962
镇江,119.4304894,32.19471592,616174,3952
常州,119.9814847,31.81579565,2326702,6314
无锡,120.3185833,31.49880973,3397047,5709
苏州,120.5924122,31.30356407,2580053,9227
徐州,117.2905754,34.21266655,1290994,9172
连云港,119.2286213,34.60224953,325281,4045
淮安,119.0214837,33.6162953,513528,4199
盐城,120.1675443,33.35510092,1658967,3451
扬州,119.4194189,32.40067694,3175316,9799
泰州,119.9295663,32.46067505,267444,4544
南通,120.9015917,31.98654943,556754,4172
宿迁,118.281574,33.96774972,354181,4478
合肥,117.2334427,31.82657783,1850849,7051
芜湖,118.4394314,31.35853666,3498892,11738
蚌埠,117.3955133,32.9215237,657267,2478
淮南,117.0063889,32.6318474,1555522,5506
马鞍山,118.5135796,31.6762656,210940,628
淮北,116.8045373,33.9616563,141852,1093
铜陵,117.8184768,30.95123324,411905,3169
安庆,117.0636039,30.53095657,201251,1447
黄山,118.3454373,29.72188979,1566616,8387
阜阳,115.8204361,32.89606099,336269,1724
宿州,116.9705439,33.65209533,458985,2037
滁州,118.3394061,32.26127087,137901,1397
六安,116.5264097,31.74145082,331309,927
宣城,118.7655342,30.94660155,31068,217
池州,117.498421,30.67088379,82310,585
亳州,115.7844632,33.8506427,96289,311
潜山,116.587611,30.63675568,9514,98
杭州,120.2155118,30.25308298,12063941,15811
嘉兴,120.7635518,30.75097483,1437599,8742
湖州,120.0945166,30.89896394,436456,2244
宁波,121.6285725,29.86603305,1613711,6948
金华,119.6534362,29.08463939,434243,4033
温州,120.7064769,28.0010854,3097548,10496
丽水,119.9295731,28.47327818,154616,239
绍兴,120.5854785,30.03636931,841134,4915
衢州,118.8665967,28.9755458,111036,1102
舟山,122.2135563,29.99091168,297772,1215
台州,121.4274347,28.66219406,1811811,7690
福州,119.3034698,26.08042942,701933,2846
厦门,118.0964355,24.48540661,11038637,13920
泉州,118.6824463,24.87995233,1195058,2645
三明,117.6455212,26.26973652,8696191,9039
南平,118.1843695,26.64777287,76857,325
漳州,117.6535765,24.51892979,272624,3080
莆田,119.014521,25.45986546,2138148,5058
宁德,119.5545107,26.67224171,190853,1560
龙岩,117.0234476,25.08121984,545717,2120
广州,113.2714313,23.13533631,8045087,8522
深圳,114.0645518,22.54845664,14969466,13195
汕头,116.6885286,23.35909172,301231,3595
惠州,114.423558,23.11635885,839023,4340
珠海,113.5825548,22.27656465,1941689,11419
揭阳,116.3785122,23.55574049,538391,4001
佛山,113.1285122,23.02775875,500586,2064
河源,114.7074463,23.74968437,54410,287
阳江,111.9884893,21.86433973,269089,4664
茂名,110.9315426,21.66906403,9445900,5058
湛江,110.3655544,21.27672344,103129,523
梅州,116.1295374,24.29417753,422459,4682
肇庆,112.4714889,23.05288877,630808,3063
韶关,113.6035273,24.81588128,345896,2162
潮州,116.6294702,23.66262319,598046,3873
东莞,113.7584205,23.02730841,2535813,5713
中山,113.3994224,22.52231467,14756721,11476
清远,113.0624683,23.68823029,3488084,3132
江门,113.0885562,22.58460388,1668651,5224
汕尾,115.3815526,22.79126304,568129,3544
云浮,112.0515127,22.92091197,316576,1234
海口,110.3255255,20.04404944,16247278,11607
三亚,109.5185567,18.25873629,1705338,6027
昆明,102.8524484,24.87399815,1335913,3382
曲靖,103.8024348,25.49640693,245616,2048
玉溪,102.5535603,24.35771094,192639,707
保山,99.17727329,25.13903879,14544,83
昭通,103.7235118,27.34408386,627986,1560
丽江,100.2324645,26.86065744,716534,2112
普洱,100.9725698,22.83097919,1011449,2158
临沧,100.0954404,23.89046856,29015,757
贵阳,106.6365768,26.65332482,3374683,3243
六盘水,104.8375546,26.59883311,440625,2100
遵义,106.9334277,27.73170088,343075,2978
安顺,105.9544171,26.25925238,402686,1416
成都,104.0815335,30.65582188,9253856,14399
绵阳,104.6855619,31.47366305,888357,2236
德阳,104.4044194,31.133115,382668,1034
广元,105.8504232,32.44161631,3305554,3608
自贡,104.7844488,29.34558492,913182,7720
攀枝花,101.7255412,26.58803317,175312,1139
乐山,103.7725376,29.55794072,3210085,6660
南充,106.1175026,30.84378251,4516408,6082
内江,105.064588,29.58588654,288036,2668
遂宁,105.5994215,30.53909767,393899,870
广安,106.6395527,30.46174611,58845,330
泸州,105.4485241,28.8776683,1581785,3926
达州,107.4745939,31.21430772,99926,395
眉山,103.8565633,30.08252612,9490078,17586
宜宾,104.6494037,28.75800703,1694568,7740
雅安,103.0495426,30.01679255,1156419,2653
资阳,104.6344353,30.13495656,47956,366
长沙,112.9454732,28.2348894,6600233,19336
株洲,113.1404708,27.83356764,246309,1581
湘潭,112.9504642,27.83570223,504325,2516
衡阳,112.5784472,26.89957614,815187,2161
岳阳,113.1354894,29.36317829,1157565,2544
郴州,113.0214605,25.77668327,356414,784
永州,111.6194551,26.42586412,1089312,3140
邵阳,111.4744329,27.24527027,263973,501
怀化,110.0085143,27.5751609,305829,578
常德,111.7054522,29.03775,362715,4174
益阳,112.361516,28.55971118,76645,493
张家界,110.4855325,29.12281556,3353368,6117
娄底,112.0015035,27.7032086,157548,1418
武汉,114.3115816,30.59846674,16873902,14614
襄樊,,,355365,3212
宜昌,111.2925492,30.69744648,169018,712
黄石,115.0455329,30.20520785,355498,721
鄂州,114.9016074,30.39657217,212068,1189
随州,113.38945,31.69651677,45085,188
荆州,112.2455226,30.34084211,1174370,1052
荆门,112.206393,31.04173258,93053,843
十堰,110.8045296,32.63506186,266234,1133
孝感,113.9225101,30.93068923,3964267,2905
黄冈,114.8784905,30.45935886,1552277,3214
咸宁,114.3285191,29.84705595,154413,572
郑州,113.6314192,34.75343885,1437033,2786
洛阳,112.4594213,34.62426278,2834223,4904
开封,114.3145926,34.80288581,3367046,6620
漯河,114.0234208,33.58771071,31743,849
安阳,114.3995004,36.10594098,665040,3221
新乡,113.9336005,35.30963993,394006,1088
周口,114.7034825,33.63182888,301278,385
三门峡,111.2065332,34.77832725,499616,1686
焦作,113.2485478,35.22096325,379743,434
平顶山,113.1995286,33.77205075,542431,1115
信阳,114.0974828,32.15301455,65467,483
南阳,112.5345013,32.9965622,834105,2200
鹤壁,114.3035936,35.75235741,127337,948
濮阳,115.0355975,35.76759303,69732,672
许昌,113.8584755,34.04143161,419466,1291
商丘,115.6624493,34.42020167,345050,603
驻马店,114.0284708,33.01784242,194201,976
太原,112.5563915,37.87698903,1795495,3704
大同,113.3064363,40.08246872,1442203,4500
忻州,112.7406242,38.42238339,383679,1617
阳泉,113.5876167,37.86236085,115014,8694
长治,113.1225589,36.20126837,160557,8340
晋城,112.8585782,35.49628459,74041,452
朔州,112.4393709,39.33710837,514161,8141
晋中,112.7595948,37.69283941,19503,111
运城,111.0133895,35.03270691,781022,2154
临汾,111.5255302,36.0937419,285819,10673
吕梁,111.1504497,37.52449775,236850,8559
西安,108.9464656,34.34726882,5999160,10433
咸阳,108.7154225,34.33547629,618846,1640
铜川,108.9524042,34.90263708,581264,4275
延安,109.4965819,36.59111104,780681,5455
宝鸡,107.2445754,34.36891564,1003199,5096
渭南,109.5165896,34.50571552,62086,395
汉中,107.0294302,33.07379991,925155,3197
安康,109.0356011,32.69051277,755321,5584
商洛,109.9244179,33.87863385,17219,52
榆林,109.741616,38.29088384,35136,178
兰州,103.8405212,36.06723469,1271048,7239
天水,105.7314167,34.58741188,1538194,2569
平凉,106.6714423,35.54923205,35479,187
酒泉,98.50068522,39.73846908,126031,1704
嘉峪关,98.29620384,39.77796015,145386,653
金昌,102.1946057,38.52582009,172800,364
白银,104.1444508,36.55082533,3026617,18945
武威,102.6445543,37.93437781,132170,1086
张掖,100.4564115,38.93206601,315310,5387
庆阳,107.6493857,35.71521598,26569,1015
定西,104.6324201,35.58683293,100724,572
陇南,104.928575,33.40662023,25444,103
西宁,101.7844502,36.6233847,235154,1642
南昌,115.8645894,28.6894553,7095404,5199
九江,116.0075349,29.71134056,1002566,1877
赣州,114.9405034,25.8351761,3959127,4491
吉安,115.0005107,27.11972683,1779525,3803
鹰潭,117.0755754,28.26578706,52182,268
上饶,117.9494596,28.46062592,1047653,3112
萍乡,113.8614964,27.62839271,72300,883
景德镇,117.1845764,29.27424771,170057,1642
新余,114.9235347,27.8235787,47183,539
宜春,114.4235637,27.82085642,58952,380
抚州,116.3645388,27.95489225,257960,524
台北,121.5737379,25.04079745,4323430,19359
台中,120.6574238,24.16660115,1345322,6298
基隆,118.5322503,24.62102388,291708,1461
高雄,120.3227695,22.62315915,10497940,15552
台南,120.1955919,22.99426944,1130941,4848
新竹,113.929221,22.97728902,175298,237
嘉义,119.8773087,28.93216085,677476,1308
香港,,,57661501,7182
澳门,114.0688465,22.53615142,13782151,4936
